栏目,发布时间,标题,来源媒体,摘要,URL
证券要闻,2025/8/26 23:02,新纳入14只股票！重要调整 正式生效！,央视财经,日前，全球知名指数公司明晟也就是MSCI，宣布了2025年8月的指数审议结果，本次调整于26日收盘后生效。其中MSCI中国指数新增14只股票，剔除17只股票。有分析称，相关上市公司有望迎来更多增量资金。与此同时，外资机构纷纷表示看好中国投资机会。具体来看，MSCI中国指数本次新增的14只股票，其中9只来自港股，涵盖科技、创新药、新消费等板块。,"http://finance.eastmoney.com/news/1353,202508263495445932.html"
证券要闻,2025/8/26 22:43,688189，预计构成重大资产重组,数据宝,今日（8月26日），A股三大指数走势震荡，上证指数、创业板指均小幅下跌，深证成指上涨0.26%，A股全天成交额2.71万亿元，较前一交易日大幅缩量超4600亿元。收盘上涨个股超2800只，其中收盘股价涨停的有92只。盘面上，苹果概念领涨，养鸡、猪肉、游戏和化学纤维等概念跟涨。下跌方面，医疗服务、CRO概念、稀土永磁等概念跌幅居前。,"http://finance.eastmoney.com/news/1354,202508263495316672.html"
证券要闻,2025/8/26 17:01,国务院印发《关于深入实施“人工智能+”行动的意见》,新华社,【国务院印发《关于深入实施“人工智能+”行动的意见》】到2027年，率先实现人工智能与6大重点领域广泛深度融合，新一代智能终端、智能体等应用普及率超70%，智能经济核心产业规模快速增长，人工智能在公共治理中的作用明显增强，人工智能开放合作体系不断完善。到2030年，我国人工智能全面赋能高质量发展，新一代智能终端、智能体等应用普及率超90%，智能经济成为我国经济发展的重要增长极，推动技术普惠和成果共享。到2035年，我国全面步入智能经济和智能社会发展新阶段，为基本实现社会主义现代化提供有力支撑。,"http://finance.eastmoney.com/news/1345,202508263494953562.html"
证券要闻,2025/8/26 22:28,今年以来MSCI中国指数涨超30% MSCI中国指数调整正式生效,央视财经,【今年以来MSCI中国指数涨超30% MSCI中国指数调整正式生效】日前，全球知名指数公司MSCI，宣布了2025年8月的指数审议结果。本次调整于26日收盘后生效。其中MSCI中国指数新增14只股票，剔除17只股票。今年以来，MSCI中国指数累计上涨超30%，显著跑赢MSCI新兴市场指数。,"http://finance.eastmoney.com/news/1353,202508263495307880.html"
证券要闻,2025/8/26 22:20,新能源汽车中概股走强，小鹏汽车涨幅扩大至8%,人民财讯,新能源汽车中概股走强，小鹏汽车涨幅扩大至8%,"http://finance.eastmoney.com/news/1354,202508263495303343.html"
证券要闻,2025/8/26 22:14,北方稀土上半年净利润同比增长1952%；浙文影业独立董事被留置丨公告精选,21世纪经济报道,今日焦点北方稀土：上半年净利润同比增长1952%北方稀土公告，2025年上半年营业收入188.66亿元，同比增长45.24%。净利润9.31亿元，同比增长1951.52%。航天科技：上半年净利润同比增长2162%航天科技公告称，上半年公司实现营业收入29.51亿元，同比下降11.04%；归属于上市公司股东的净利润为8896.67万元，同比增长2161.91%。,"http://finance.eastmoney.com/news/1354,202508263495305935.html"
证券要闻,2025/8/26 22:06,构建全链条生态体系 推动二手车出口高质量发展,中国经营报,“当前，中国二手车出口正处于政策红利与市场爆发叠加的黄金期，超4亿辆的汽车保有量、成熟的供应链体系、高性价比的车型选择，为中国二手车出口提供了坚实基础。”近日，中国汽车流通协会副会长罗磊在“2025中国二手车出口生态大会”上表示，在政策引导下，出口企业积极探索模式创新、建立标准化体系、拓展全球渠道，成功实现了从区域试点向全球布局的跨越。,"http://finance.eastmoney.com/news/1353,202508263495433391.html"
证券要闻,2025/8/26 15:22,特朗普称今年年内或尽快访问中国 外交部回应,澎湃新闻,【特朗普称今年年内或尽快访问中国 外交部回应】“我们希望美方相向而行，推动中美关系稳定、健康可持续发展。”郭嘉昆指出，元首外交对中美关系发挥着不可替代的战略引领作用，中美两国元首保持着密切的交往和沟通。,"http://finance.eastmoney.com/news/1345,202508263494844413.html"
证券要闻,2025/8/26 22:00,国泰海通证券：国产游戏版号数量新高 看好政策鼓励、供给优质的游戏行业,人民财讯,人民财讯8月26日电，国泰海通证券研究指出，8月25日，国家新闻出版署官网发布2025年8月国产网络游戏审批信息，共166款游戏获批，创历史新高；同时下发新一批进口网络游戏审批信息，包括7款游戏。游戏行业三季度景气度持续，看好产业长期健康发展。,"http://finance.eastmoney.com/news/1354,202508263495309864.html"
证券要闻,2025/8/26 21:59,A股量价回落 接下来怎么走？,国际金融报,8月26日，A股窄幅震荡，量价略有回落，日成交额降至2.71万亿元。其中，大消费板块表现较好，周期板块共计2804只个股上涨。受访人士表示，部分资金选择获利了结，同时场外资金对当前估值水平持观望态度。当前多空博弈明显加剧，市场内部呈现显著的结构性分化特征。当下需重点关注高位题材股回调以及市场波动加剧风险。,"http://finance.eastmoney.com/news/1353,202508263495434036.html"
证券要闻,2025/8/26 21:57,华福证券陈铁林：创新药正向1-10国际化快速发展 可结构性超配,财联社,【华福证券陈铁林：创新药正向1-10国际化快速发展 可结构性超配】华福证券研究所副所长、医药首席分析师陈铁林分析，2015年之后获批的创新药物在2024年整体药品市场的份额已达10%，创新药在中国市场的商业化价值正在逐步释放。从产业趋势来看，国内创新药正在走向1-10国际化的快速发展过程中，未来中国创新药出海交易仍然值得期待。,"http://finance.eastmoney.com/news/1353,202508263495271282.html"
证券要闻,2025/8/26 21:54,中信证券朱烨辛：股权投资市场热度回归 助推新旧动能转换,中国证券报·中证网,中证报中证网讯（记者刘英杰谭丁豪）8月26日，中信证券在苏州召开第四届股权投资论坛，本次论坛主题为“淬炼启新元”。论坛聚焦股权市场的发展、机遇与展望，内容涵盖医药创新、具身智能、自动驾驶、资本实践与ESG、可控核聚变、硬科技创新、低空经济与航天等前沿产业热点。,"http://finance.eastmoney.com/news/1353,202508263495433566.html"
证券要闻,2025/8/26 21:54,嘉实基金陈俊杰：半导体行业有望迎来“周期+成长”时刻,中国证券报·中证网,中证报中证网讯（记者张凌之）8月26日，嘉实全球产业升级基金经理陈俊杰在中国证券报“中证点金汇”直播间表示，从当下节点展望未来，海外人工智能（AI）的发展正沿着“模型、数据、应用”路径形成商业闭环，已从单个领域的有效突破，逐步拓展至多个领域的全面发展阶段，未来各行业均将借助AI实现效率的大幅提升。陈俊杰进一步指出，算力是其现阶段重点看好的成长领域。,"http://finance.eastmoney.com/news/1353,202508263495433456.html"
证券要闻,2025/8/26 21:54,嘉实基金陈俊杰：我国半导体行业龙头潜力与发展机遇凸显,中国证券报·中证网,中证报中证网讯（记者张凌之）8月26日，嘉实全球产业升级基金经理陈俊杰在中国证券报“中证点金汇”直播间表示，我国半导体行业龙头潜力与发展机遇凸显。近年来，我国半导体行业发展势头迅猛，已构建起相对完备的半导体产业链。从上游的材料与设备，到中游的生产制造、封装测试，再到模拟芯片、数字芯片等产品领域的设计与生产，均已具备相应能力。,"http://finance.eastmoney.com/news/1353,202508263495434278.html"
证券要闻,2025/8/26 21:52,美股三大指数集体低开，回声星通信涨超80%,第一财经,21:33美股开盘丨三大指数集体低开道指跌0.13%，标普500指数跌0.07%，纳指跌0.04%。回声星通信涨超80%，报道称AT&T将以约230亿美元现金从公司手中收购频谱牌照；蔚来涨超5%，礼来涨超3%。21:19美股三大股指期货盘前走低，道指期货跌0.06%，标普500指数期货跌0.06%，纳指期货跌0.13%。,"http://finance.eastmoney.com/news/1354,202508263495282887.html"
证券要闻,2025/8/26 21:51,港股风向标｜大金融等蓝筹股齐跌拖累大市 多空博弈激烈恒指再度回调,财联社,财联社8月26日讯今日港股行情大幅回调，午后三大指数集体跳水。截至收盘，恒生指数跌1.18%，国企指数跌1.07%，恒生科技指数跌0.74%。【大型科技股集体走弱多空博弈激烈场内情绪谨慎】盘面上，今日大型科技股率先调整，阿里巴巴跌2.57%，美团、百度、京东跌近2%，腾讯跌0.81%，小米最终平收。其他方向上，地产、金融等蓝筹板块跌幅明显，拖累大市下行。,"http://finance.eastmoney.com/news/1354,202508263495282934.html"
证券要闻,2025/8/26 21:45,五大光伏龙头半年巨亏170多亿元，谁在增亏？谁的血条更厚？,澎湃新闻,光伏行业下行周期已持续七个季度，仍未冲破黎明前的黑暗。近日披露的半年报显示，通威股份（600438.SH）、隆基绿能（601012.SH）、晶澳科技（002459.SZ）、天合光能（688599.SH）、TCL中环（002129.SZ）今年上半年合计净亏损172.64亿元，除隆基外，其余五家企业均创下各自历史同期最大亏损。,"http://finance.eastmoney.com/news/1354,202508263495280258.html"
证券要闻,2025/8/26 21:40,美股三大指数小幅低开 蔚来涨近5%,人民财讯,人民财讯8月26日电，美股三大指数小幅低开，道指跌0.13%，标普500指数跌0.06%，纳指跌0.04%。美国超微公司涨3.24%，高通涨0.79%，特斯拉跌0.48%。纳斯达克中国金龙指数涨0.24%，蔚来涨4.93%，小鹏汽车涨4.03%。,"http://finance.eastmoney.com/news/1354,202508263495272365.html"
证券要闻,2025/8/26 21:37,日研究团队实现量子纠缠增强机器人运动控制 | 每日全球科技要闻,科创板日报,▌英伟达推出Spectrum-XGS以打造跨区域AI超级工厂英伟达发布Spectrum-XGS以连接分布式数据中心，扩展Spectrum-X平台，实现跨城市、国家和洲际的超大规模AI计算。该方案通过自适应距离拥塞控制、精确延迟管理和端到端遥测，几乎将多GPU和多节点通信性能提升一倍，使多个数据中心协同运行如单一AI工厂，满足超大规模AI需求。,"http://finance.eastmoney.com/news/1354,202508263495371865.html"
证券要闻,2025/8/26 21:18,招商证券：流动性改善支持港股补涨 关注创新药与互联网机会,人民财讯,人民财讯8月26日电，招商证券策略研究指出，近期Hibor利率快速上行后逐步稳定、鲍威尔表态显著转鸽，内外流动性的变化均指向一个结论：港股流动性趋紧的叙事已经得到了边际改善。招商证券认为，流动性叙事的改善已经足够支撑港股阶段性的补涨，缩小与近期快速上涨的A股之间的差距。从业绩来看，港股目前业绩预喜率为2022年以来新高。,"http://finance.eastmoney.com/news/1353,202508263495317374.html"
证券要闻,2025/8/26 21:18,中国信通院联合华为、三大运营商等成立“先进存力AI推理工作组”,每日经济新闻,每经AI快讯，据华为中国公众号消息，近日，在2025中国算力大会上，中国信息通信研究院联合华为数据存储、科大讯飞、浪潮、曙光、沐曦、清微智能、中国移动、中国电信、中国联通等企业，共同成立“先进存力AI推理工作组”，标志着我国AI推理领域进入“存算协同、生态共建”的新阶段。,"http://finance.eastmoney.com/news/1354,202508263495252533.html"
证券要闻,2025/8/26 21:06,34只重庆A股上涨 长江材料涨停,上游新闻,8月26日，78只重庆A股中有34只上涨。数据显示，长江材料以上涨10.00%（涨停）位居重庆A股日涨幅榜第一，紫建电子以上涨4.87%位列重庆A股日涨幅榜第二，ST天圣以上涨4.06%位列重庆A股日涨幅榜第三。8月26日，长江材料报收22.99元，日涨幅10.00%（涨停），换手率13.11%，今年以来涨幅达35.87%。,"http://finance.eastmoney.com/news/1354,202508263495244237.html"
证券要闻,2025/8/26 21:04,券商投行业务出现“解冻”信号：人才招聘回暖，头部券商“涨薪”消息频现,每日经济新闻,2023年8月27日，证监会在官网发布《证监会统筹一二级市场平衡优化IPO、再融资监管安排》（以下简称“8·27新政”），距今已满两年时间。尽管2024年“9·24”行情以来A股市场回暖明显，但IPO（首次公开募股）收紧态势仍然没有明显放松。,"http://finance.eastmoney.com/news/1353,202508263495384312.html"
证券要闻,2025/8/26 21:03,必易微拟斥资近3亿元收购兴感半导体；北方稀土上半年净利润同比增长约1952%｜公告精选,每日经济新闻,并购重组中汽股份：拟以现金1.11亿元收购中汽研汽车检验中心（呼伦贝尔）有限公司100%股权中汽股份公告，公司拟以现金1.11亿元收购中汽研汽车检验中心（天津）有限公司所持有的中汽研汽车检验中心（呼伦贝尔）有限公司100%股权。必易微：拟斥资2.95亿元收购兴感半导体必易微公告，公司拟以自有或自筹资金2.95亿元收购上海兴感半导体有限公司100%股权。,"http://finance.eastmoney.com/news/1354,202508263495238537.html"
证券要闻,2025/8/26 20:58,科创板晚报 | 联影医疗光子计数能谱CT获批上市 南新制药拟收购未来医药标的资产组,科创板日报,《科创板日报》8月26日讯今日科创板晚报主要内容包括：国务院：加大人工智能领域金融和财政支持力度；新一代中国操作系统银河麒麟V11正式发布；字节跳动期权价格将上调至200.41美元/股。,"http://finance.eastmoney.com/news/1354,202508263495237282.html"
证券要闻,2025/8/26 20:55,寒武纪：上半年归母净利润10.38亿元 同比扭亏,财联社,【寒武纪：2025年半年度净利润10.38亿元】寒武纪8月26日晚间披露半年报，2025年上半年营业收入28.81亿元，同比增长4347.82%；归属于上市公司股东的净利润10.38亿元，上年同期亏损5.3亿元；基本每股收益2.50元。,"http://finance.eastmoney.com/news/1345,202508263495205933.html"
证券要闻,2025/8/26 20:52,机构预测今年全球折叠屏手机市场出货量同比增长6%,中国证券报·中证金牛座,8月26日，研究机构IDC发布报告称，预计2025年全球折叠屏手机市场出货量约1983万台，同比增长6.0%。IDC报告显示，2025上半年，中国折叠屏手机市场出货量达到498万台，同比增长12.6%。,"http://finance.eastmoney.com/news/1354,202508263495231578.html"
证券要闻,2025/8/26 20:52,8月游戏版号数量创新高，B站“搜打撤”、腾讯《卡厄斯梦境》等重点游戏在列,国际金融报,8月25日，国家新闻出版署发布了最新一批的网络游戏版号名单，合计发放173款版号，刷新年内新高，其中166款国产网络游戏获版号，7款进口网络游戏过审。此外，还有13款游戏变更信息过审，包括腾讯《天涯明月刀·世界》增报客户端、变更版本。具体来看，游戏厂商方面，腾讯、网易、B站、灵犀互娱、三七互娱、恺英网络等均有所收获。,"http://finance.eastmoney.com/news/1354,202508263495230132.html"
证券要闻,2025/8/26 20:50,【26日资金路线图】两市主力资金净流出超450亿元 基础化工等行业实现净流入,证券时报,8月26日，A股市场整体下跌。截至收盘，上证指数收报3868.38点，下跌0.39%；深证成指收报12473.17点，上涨0.26%；创业板指收报2742.13点，下跌0.76%。两市合计成交26790.2亿元，较上一交易日减少4621.17亿元。,"http://finance.eastmoney.com/news/1353,202508263495353133.html"
证券要闻,2025/8/26 20:50,年内新高！打新热潮回归！,证券时报,随着市场情绪持续回暖，A股新股申购热度攀升至近年来的高位水平。8月25日，华新精科启动网上申购，网上有效申购户数突破1300万户，创2022年3月以来沪市主板新股申购户数新高。市场回暖带来新股申购热潮不仅体现在沪市主板市场，深市主板、创业板和科创板同样吸引了不少投资者，其中深市主板打新投资者数接近1500万户。,"http://finance.eastmoney.com/news/1354,202508263495227764.html"
证券要闻,2025/8/26 20:47,侃股：A股不止于3万亿成交,北京商报,A股3万亿成交引发热议，有观点认为天量见天价，但事实并非如此。随着指数持续攀升，获利盘及此前的套牢盘都有出逃的意愿，巨量成交说明有资金敢于承接，消化此前筹码之后A股依然可以稳健上行。天量见天价这一观点，源于过往市场在达到阶段性高点时，往往伴随着成交量的急剧放大。这种表象使得部分投资者形成了一种惯性思维，认为巨量成交意味着市场多空分歧达到极致，后续买盘无力，股价将见顶回落。,"http://finance.eastmoney.com/news/1353,202508263495404372.html"
证券要闻,2025/8/26 20:46,【财闻联播】中国中免半年报出炉！今晚，油价下调,券商中国,★宏观动态★商务部：截至2024年底对外投资存量超过3万亿美元，连续8年保持全球前三国新办8月26日下午3时举行新闻发布会，商务部副部长兼国际贸易谈判副代表凌激表示，2012年以来，中国的对外投资流量连续13年位居全球前三。截至2024年底，中国在境外设立企业超过5万家，遍布190个国家和地区。对外投资存量超过3万亿美元，连续8年保持全球前三，占全球对外投资比重增至7.2%。,"http://finance.eastmoney.com/news/1354,202508263495227645.html"
证券要闻,2025/8/26 20:37,中央发文加强全国碳市场建设，相关概念股今年以来最高涨幅超160%,每日经济新闻,8月25日晚间，《中共中央办公厅国务院办公厅关于推进绿色低碳转型加强全国碳市场建设的意见》（以下简称《意见》）正式对外公布，旨在推动建设更加有效、更有活力、更具国际影响力的全国碳排放权交易市场（以下简称全国碳市场）。《意见》提出，到2027年，实现全国碳市场基本覆盖工业领域主要排放行业，全国温室气体自愿减排交易市场实现重点领域全覆盖两项主要目标。,"http://finance.eastmoney.com/news/1354,202508263495406372.html"
证券要闻,2025/8/26 20:33,8月26日晚间上市公司利好消息一览(附名单),东方财富研究中心,沪深两市多家上市公司8月26日晚间发布重要公告，以下为利好的消息汇总：必易微：拟以2.95亿元现金收购上海兴感半导体100%股权必易微公告，公司拟以自有或自筹资金2.95亿元收购上海兴感半导体有限公司100%股权。交易完成后，兴感半导体将成为公司全资子公司。本次交易不涉及关联交易，不构成重大资产重组。,"http://finance.eastmoney.com/news/1353,202508263495193195.html"
证券要闻,2025/8/26 20:14,景顺长城基金：关注A股市场三大方向投资机会,上海证券报·中国证券网,【景顺长城基金：关注A股市场三大方向投资机会】具体到配置层面，景顺长城基金建议关注三个方向：一是具备高景气产业趋势的细分方向，但需要关注快速上涨后的波动风险；二是直接受益市场活跃的板块，包括券商、保险、多元金融等；三是高股息板块，年初至今该板块涨幅相对落后，若市场出现回调，其将具备较高的配置性价比。,"http://finance.eastmoney.com/news/1353,202508263495179330.html"
证券要闻,2025/8/26 20:12,8家银行落地100亿元银团 年内深圳再添一并购联盟,21世纪经济报道,在深圳特区成立45周年之际，又一并购联盟成立。近日，湾区跨境并购联盟在深圳前海成立，将为湾区企业出海提供跨境并购银团服务，当日8家银行共计100亿元银团并购授信落地。一周前，监管部门公开意见征求，拟拓宽商业银行并购贷款适用范围。这是今年第二个在深圳落地的并购联盟。此前1月，深证并购基金联盟在深成立，当日落地45亿元的并购基金，此前深圳刚刚出台“并购14条”。,"http://finance.eastmoney.com/news/1354,202508263495179231.html"
证券要闻,2025/8/26 20:06,港股26日跌1.18% 收报25524.92点,新华社,新华社香港8月26日电香港恒生指数26日跌304.99点，跌幅1.18%，收报25524.92点。全日主板成交3178.71亿港元。国企指数跌99.34点，收报9148.66点，跌幅1.07%。恒生科技指数跌42.85点，收报5782.24点，跌幅0.74%。,"http://finance.eastmoney.com/news/1354,202508263495332161.html"
证券要闻,2025/8/26 19:59,股市特别报道丨沪指3900点关前震荡 投资者还能进场吗？,深圳商报·读创,8月25日放量大涨后，8月26日A股整体保持震荡走势。截至收盘，沪指跌0.39%报3868.38，盘中最高3888.60点，续创十年新高；深证成指涨0.26%报12473.17点，创业板指跌0.75%报2742.13点；沪深北三市成交额27113亿元。成交额已连续10日超2万亿元，其中8月25日成交额突破3万亿元，成为A股史上第二高成交额。,"http://finance.eastmoney.com/news/1353,202508263495434498.html"
证券要闻,2025/8/26 19:57,炸裂！又一千亿巨头历史新高,东方财富研究中心,周二A股三大指数表现分化，收盘时沪指跌0.39%，深成指涨0.26%，创业板指跌0.75%。沪深两市成交额2.68万亿元，较上一交易日缩量4621亿元。盘面上，消费电子逆势走强；华为昇腾概念一度冲高；游戏股亦表现活跃。相反，CRO、稀土永磁、PEEK材料、军工等板块跌幅居前。,"http://finance.eastmoney.com/news/1353,202508263495164368.html"
证券要闻,2025/8/26 19:57,2025年暑期档观影人次超过去年同期 破3亿人次,南方财经网,南方财经8月26日电，据网络平台数据，截至8月26日17时，2025年暑期档观影人次（含预售）破3亿，超2024年暑期档观影人次成绩。截至18时01分，2025年暑期档电影总票房突破112亿。,"http://finance.eastmoney.com/news/1353,202508263495449886.html"
证券要闻,2025/8/26 15:56,英伟达周三财报堪比非农报告？美股AI热潮能否延续或系于此,财联社,【英伟达周三财报堪比非农报告？美股AI热潮能否延续或系于此】英伟达将在本周三公布其第二季度财报，对于华尔街来说，英伟达的业绩报告可能将决定市场对人工智能热潮的信心。,"http://finance.eastmoney.com/news/1345,202508263494870034.html"
证券要闻,2025/8/26 19:49,新华视点丨二次元火了！如何激活文旅新消费？,新华社,探访动漫剧情取景地、打卡二次元商场、体验线下游戏音乐会……如今，不少“Z世代”年轻人热衷跟着动漫IP开启二次元旅行。二次元，通常指由动画、漫画、游戏等组成的虚拟文娱内容，如今已延伸至周边衍生品、虚拟偶像、主题展会等产品和活动。二次元文旅升温，反映出怎样的消费趋势？如何破壁出圈，进一步促进文旅消费？“新华视点”记者采访了相关人士。,"http://finance.eastmoney.com/news/1354,202508263495336432.html"
证券要闻,2025/8/26 19:46,【明日主题前瞻】华为云称将更多的资源投入到AI产业和算力产业上,财联社,【今日导读】华为云称将更多的资源投入到AI产业和算力产业上力箭二号发射设备工位安装调试试验取得圆满成功智算中心建设热潮正在重塑储能行业格局先进封装成为高景气算力周期的关键技术之一释放端侧AI无限潜力，主动散热技术在AIAgent时代大放异彩30亿元！,"http://finance.eastmoney.com/news/1354,202508263495149565.html"
证券要闻,2025/8/26 19:36,汇华理财首次与外资银行建立代销合作关系,21世纪经济报道,近日，汇华理财于渣打银行推出了配置全球多元化资产的（环球增益）汇华趋势指南一个月最短持有050理财产品，产品以“固收+”为投资策略，部分配置于境外CIO精选基金。该理财产品由渣打银行独家代销，这也是汇华理财首次与外资银行建立代销合作关系，充分体现市场机构在合作伙伴选择上对汇华理财的认可。,"http://finance.eastmoney.com/news/1354,202508263495409018.html"
证券要闻,2025/8/26 19:32,李强主持国务院第十五次专题学习：扎实推动服务贸易高质量发展,新华社,【李强主持国务院第十五次专题学习】8月26日，国务院以“加快服务贸易创新发展，积极培育外贸发展新动能”为主题，进行第十五次专题学习。国务院总理李强在主持学习时强调，要深入学习贯彻习近平总书记重要指示精神和党中央有关决策部署，进一步凝聚共识、拓宽思路，扎实推动服务贸易高质量发展，为建设贸易强国、构建更高水平开放型经济新体制提供有力支撑。,"http://finance.eastmoney.com/news/1345,202508263495106178.html"
证券要闻,2025/8/26 19:31,天然钻石市场升温 上海钻石交易所分享会传递积极信号,经济参考网,近日，上海钻石交易所在媒体分享会中，深入探讨了天然钻石市场因价格回升与消费心理转变带来的机遇，分析了市场趋势、投资潜力以及其在当代消费环境中的情感与文化价值。上海钻石交易所总裁林强指出，预计到2030年，中国在全球奢侈品消费中的占比将从当前的22%-24%增长至35%-40%，天然钻石珠宝作为奢侈品核心品类，将显著受益。,"http://finance.eastmoney.com/news/1353,202508263495435233.html"
证券要闻,2025/8/26 19:24,大小盘风格或迎切换 如何才能坐稳扶好？,金融投资报,近期A股市场持续回暖，但一个潜在的困扰却出现在众多投资者面前：即便大盘指数稳步上行，个人持仓却难敌指数涨幅，“赚指数不赚钱”的困境再度凸显。从银行股阶段性躁动，到TMT赛道集体冲高，再到AI算力、创新药等主题轮动爆发，市场热点切换速度不断加快，普通投资者疲于追逐热点，可能陷入追涨杀跌的被动局面。,"http://finance.eastmoney.com/news/1353,202508263495452471.html"
证券要闻,2025/8/26 20:53,8月26日东方财富财经晚报（附新闻联播）,东方财富Choice数据,1、国务院印发《关于深入实施“人工智能+”行动的意见》，提出加快实施6大重点行动。2、李强主持国务院第十五次专题学习：扎实推动服务贸易高质量发展。3、国内成品油价今晚下调，加满一箱油少花7元。,"http://finance.eastmoney.com/news/1353,202508263495205782.html"
证券要闻,2025/8/26 19:07,00后炒股“怪状”：周末休市像失恋 踏空比亏钱还难受,华夏时报,近日，沪指盘中越过近10年新高。在此轮市场走强的背景下，00后投资者正加速涌入。他们带着差异化的认知、多元的操作风格与极具辨识度的个性，悄然重塑着“Z世代”的投资与理财风格。不少新入市的年轻股民分享道，“自从炒股之后，差点忘了以前是干嘛的了。”“看着K线上下飞，脑子里一片空白。”“起早贪黑、疯狂研究，又亏了3个点。,"http://finance.eastmoney.com/news/1353,202508263495435676.html"
