栏目,发布时间,标题,来源媒体,摘要,URL,情感,置信度
证券要闻,2025-08-28 22:35:09,南都电商观察｜4人直播间组织刷人气被判刑；京东进军团播,南方都市报,主播&达人1、全红婵哥哥回应AI仿声带货近日，全红婵的哥哥全进华在直播中回应“妹妹被AI仿冒声音卖土鸡蛋”一事，气愤表示：“我妹妹在训练基地她怎么卖鸡蛋？那是AI声音，全平台一大堆这样的切片，我现在告都告不过来，一个一个都在告。”全进华表示：“我懂你们想要支持的内心，但你们要看清楚，我妹妹是在役运动员，不能去做直播卖货，大家注意甄别，新闻里已经曝光过AI克隆声音乱象。,"http://finance.eastmoney.com/news/1354,202508283498385387.html","negative (stars 1, 2 and 3)",0.6943578720092773
证券要闻,2025-08-28 22:33:00,美联储降息预期升温 对哪些资产影响大？专访星展中国周邦贵：香港利率相关产品吸引力将下降,财联社,财联社8月28日讯（记者郭子硕）近日多家机构预计，美联储很可能于9月降息，降息幅度约25个基点。美联储降息预期快速攀升，在全球金融市场掀起波澜，也促使国内投资者加速调整资产配置策略。在此背景下，财联社就降息周期下资产配置方向、外资行财富管理业务应对之策等问题，对星展中国个人银行及财富管理业务总经理周邦贵进行了专访。,"http://finance.eastmoney.com/news/1353,202508283498414392.html",positive (stars 4 and 5),0.7527202367782593
证券要闻,2025-08-28 22:25:33,48座万达广场出售初步落地 万达与腾讯京东成立合伙企业,中国经营报,自今年5月底出售48座自持万达广场的消息披露之后，近日，万达集团出售资产事宜有了新动向。公开信息显示，由腾讯、京东、万达等13位合伙人共同出资的私募基金已于近日成立，出资额高达224.29亿元，预计此次收购将通过专项基金平台完成。与此同时，万达集团分别与腾讯、京东成立合伙企业，出资额分别为160.8亿元、80.5亿元。万达集团近年来出售资产、引入战投动作不断。,"http://finance.eastmoney.com/news/1354,202508283498382998.html",positive (stars 4 and 5),0.6579984426498413
证券要闻,2025-08-28 22:23:10,期货业又一次高层“大换血”,国际金融报,期货业又迎来一轮高层“换血”。8月26日，中国期货业协会发布新一期期货公司高管人员专业能力水平评价测试合格人员名单。记者注意到，此次期货公司高管专业能力测试合格名单共涉及20家期货公司以及25名高管人员。4家拟更换董事长从董事层名单来看，共计11家期货公司出现变动。,"http://finance.eastmoney.com/news/1353,202508283498511453.html",positive (stars 4 and 5),0.611918568611145
证券要闻,2025-08-28 22:12:09,国泰海通证券：随着固态电池市场需求逐渐兴起，前瞻布局硫化锂的企业有望受益,人民财讯,人民财讯8月28日电，国泰海通证券认为硫化物固态电解质凭借更优秀的综合性能有望成为全固态电池的主流选择，其中硫化锂是硫化物固态电解质的核心原材料，潜在的市场空间广阔，吸引了众多企业布局。硫化锂主流制备路线可分为三大类，固相法、液相法、气相法。随着固态电池市场需求逐渐兴起，前瞻布局硫化锂的企业有望受益。,"http://finance.eastmoney.com/news/1353,202508283498420939.html",positive (stars 4 and 5),0.9393547773361206
证券要闻,2025-08-28 22:10:37,最高抢筹超12亿元，外资盯上这些股！最新筹码连续集中股来了,数据宝,今日（8月28日），A股三大指数止跌回升，集体收涨，A股全天成交额约3万亿元，较前一交易日缩量超1900亿元。收盘上涨个股超2800只，其中收盘股价涨停的有66只。盘面上，共封装光学、光刻机等概念上涨；转基因、重组蛋白等概念跌幅居前。109股收盘价创历史新高据证券时报·数据宝统计，不含近一年上市的次新股，今日共有109股收盘价创历史新高。,"http://finance.eastmoney.com/news/1354,202508283498376455.html",positive (stars 4 and 5),0.9072169661521912
证券要闻,2025-08-28 22:10:09,对话联合国首席信息技术官：DeepSeek是“伟大的进化”,21世纪经济报道,21世纪经济报道记者吴斌上海报道近期，国产大模型厂商DeepSeek推出V3.1版本，主要有三大亮点，包括混合推理架构、更高的思考效率以及更强的智能体能力。联合国助理秘书长、首席信息技术官BernardoMarianoJunior告诉21世纪经济报道记者，自从DeepSeek发布以来，他就一直在使用。,"http://finance.eastmoney.com/news/1353,202508283498464597.html",positive (stars 4 and 5),0.965771496295929
证券要闻,2025-08-28 22:04:28,国泰海通证券：持续的政策支持AI应用落地 国内AI产业发展有望进一步加速,人民财讯,【国泰海通证券：持续的政策支持AI应用落地 国内AI产业发展有望进一步加速】国泰海通证券研究指出，人工智能是新一轮科技革命和产业变革的重要驱动力量。国内AI产业的发展有望进一步加速，看好从AI基础设施到AI大模型到AI应用的发展闭环，维持计算机行业“增持”评级。,"http://finance.eastmoney.com/news/1353,202508283498343686.html",positive (stars 4 and 5),0.7973412275314331
证券要闻,2025-08-28 22:01:31,人工智能应用带动云数据库需求激增,新华财经,新华财经上海8月28日电（记者王淑娟）生成式人工智能应用需处理海量非结构化数据，带动了市场对云数据库的需求激增。,"http://finance.eastmoney.com/news/1354,202508283498364612.html",positive (stars 4 and 5),0.9594888091087341
证券要闻,2025-08-28 20:01:10,寒武纪紧急回应！预计2025年全年实现营业收入50亿元至70亿元,证券时报,【寒武纪：预计2025年全年实现营业收入50亿元至70亿元】8月28日，寒武纪发布股票交易风险提示公告，公司关注到近期市场上存在部分对公司经营情况的预测，公司结合实际情况，预计2025年全年实现营业收入50亿元至70亿元。,"http://finance.eastmoney.com/news/1345,202508283498198522.html",positive (stars 4 and 5),0.7777754664421082
证券要闻,2025-08-28 22:00:26,8月多家银行首席合规官亮相！业内：行业合规将呈现制度化、智能化与全员化趋势,每日经济新闻,8月，已有多位银行首席合规官亮相！8月26日，国家金融监督管理总局山东监管局官网发布一则批复，核准刘强济宁银行首席合规官的任职资格。除了济宁银行，也有上市银行发布首席合规官相关消息。如江苏银行发布董事会决议公告，审议通过关于聘任袁军为公司首席合规官的议案。紫金银行也发布公告称，聘任阙正和为首席合规官。值得注意的是，两位上市银行的首席合规官都有另一个身份——所在行行长。,"http://finance.eastmoney.com/news/1354,202508283498365044.html",positive (stars 4 and 5),0.7807474732398987
证券要闻,2025-08-28 21:57:18,2025中国民营企业500强揭晓，北京上榜企业“科技含量”高,新京报,8月28日，2025中国民营企业500强榜单发布。榜单显示，我国民营企业在复杂多变的国内外环境中，展现出了强劲的韧性与活力。中国人民大学国家发展与战略研究院研究员、国家中小企业研究院副院长孙文凯教授对新京报贝壳财经记者表示，整体上看，2025中国民营企业500强呈现出不断优化的特点。从榜单上看，大多数500强企业实现营收增长，经营状况整体向好。,"http://finance.eastmoney.com/news/1354,202508283498360871.html",positive (stars 4 and 5),0.9377251863479614
证券要闻,2025-08-28 21:54:39,【西街观察】外卖“烧钱”没有赢家,北京商报,血脉偾张的竞争，最终反馈到“血淋淋”的财务报表上。京东、美团相继披露二季度财报，美团经调整净利润为14.9亿元，同比下滑89%；京东归属股东净利润62亿元，同比下滑50.8%。巨额补贴为主要特征的外卖大战，给企业带来数十亿乃至百亿级别的利润下滑，业内早有预料，答案揭晓依然触目惊心。有些成本支出契合产业生态，比如骑手社保权益、商家佣金减免。,"http://finance.eastmoney.com/news/1354,202508283498358456.html",positive (stars 4 and 5),0.9048857688903809
证券要闻,2025-08-28 21:52:43,芯原股份筹划购买芯来智融股权；中芯国际上半年净利润同比增长近40%｜公告精选,每日经济新闻,并购重组北新建材：公司意向收购境外一家建筑材料公司100%股权北新建材公告，公司意向收购境外一家建筑材料公司100%股权（以下简称标的公司）并在董事会授权范围内进行约束性报价。标的公司业务与公司主营业务属于相同领域，与公司存在协同效应，收购该标的公司股权对公司未来发展具有积极影响。,"http://finance.eastmoney.com/news/1354,202508283498355627.html",positive (stars 4 and 5),0.8273680806159973
证券要闻,2025-08-28 15:12:54,A股午后大反攻 科创50指数涨超7%！发生了什么？,券商中国,【A股午后大反攻！发生了什么？】从目前的市场来看，仍是结构牛。上涨的部分主要集中在科技白马股。这一点也可以从ETF中看得出来，很多新进来的投资者也基本上是以买入ETF为主。,"http://finance.eastmoney.com/news/1344,202508283497913264.html",positive (stars 4 and 5),0.7865793108940125
证券要闻,2025-08-28 21:51:10,美股三大指数小幅高开，热门中概股涨跌互现,第一财经,21:33美股开盘丨三大指数小幅高开道指涨0.06%，纳指涨0.15%，标普500指数涨0.04%。Snowflake涨超11%，公司Q2业绩超市场预期。英伟达涨超1%。中概股涨跌互现，阿里巴巴、京东跌超2%，蔚来、理想汽车涨超2%。21:08美股三大股指期货小幅走高，截至发稿，道指期货涨0.13%，标普500指数期货涨0.05%，纳指期货涨0.03%。,"http://finance.eastmoney.com/news/1354,202508283498355289.html",positive (stars 4 and 5),0.7510554790496826
证券要闻,2025-08-28 21:48:37,“00后”跑步进股市，佣金杀到“万1”！新一轮开户潮来了,国际金融报,8月底，A股连创新高，一周两度成交近3.2万亿元，亢奋与获利回吐交织。《国际金融报》记者从券商处获悉，量价齐升带动新开户、杠杆资金激增，两融余额升至2.2万亿元，占流通市值2.26%。业内人士提醒称，杠杆放大波动，投资者务必警惕急跌风险。,"http://finance.eastmoney.com/news/1353,202508283498352258.html",positive (stars 4 and 5),0.7828382253646851
证券要闻,2025-08-28 21:46:43,21评论｜国产算力需要耐心资本和长期生态构建,21世纪经济报道,特约评论员陈白近期，有“国产AI芯片第一股”之称的寒武纪，在沉寂许久后股价一度飙涨，市值一度超6000亿元，超越茅台成为新任“股王”。寒武纪的爆发与国产算力领域正在发生的巨大变化有直接关系。这一轮异动的背后，并非简单的概念炒作，而是与近期密集出台的政策信号和产业动向形成了强烈的共振。,"http://finance.eastmoney.com/news/1354,202508283498351820.html",positive (stars 4 and 5),0.896734893321991
证券要闻,2025-08-28 21:43:13,增值超800%！这家券商拟卖上海、深圳等地6处房产，估值超2.6亿,中国基金报,【导读】红塔证券拟出售6处房产，评估价值为2.628亿元8月28日晚间，红塔证券发布公告称，为盘活内部闲置资产，公司拟通过在产权交易中心挂牌转让方式处置公司所拥有的6处房屋。根据评估机构出具的报告，红塔证券拟处置的6项房产于评估基准日2025年4月30日账面净值为2912.89万元，评估价值为2.628亿元（含增值税），增值率为802.17%。,"http://finance.eastmoney.com/news/1354,202508283498349317.html",positive (stars 4 and 5),0.8375887274742126
证券要闻,2025-08-28 21:42:42,美股三大指数小幅高开 蔚来涨近3%,人民财讯,人民财讯8月28日电，美股三大指数小幅高开，道指涨0.10%，标普500指数涨0.10%，纳指涨0.27%，英特尔涨0.44%，Meta跌0.45%。纳斯达克中国金龙指数跌0.13%，蔚来涨2.92%，小鹏汽车跌2.36%。,"http://finance.eastmoney.com/news/1354,202508283498348750.html",positive (stars 4 and 5),0.8434963226318359
证券要闻,2025-08-28 21:40:25,美股三大指数小幅高开,界面新闻,美股三大指数小幅高开，道琼斯指数涨0.10%，标普500指数涨0.10%，纳斯达克综合指数涨0.27%。英伟达涨1%，公司Q2营收、净利均超预期，但数据中心业务营收不及预期。,"http://finance.eastmoney.com/news/1353,202508283498469532.html",positive (stars 4 and 5),0.7646152377128601
证券要闻,2025-08-28 21:35:27,海外机构调研股名单 天孚通信最受关注,证券时报网,根据调研日期截止日统计，近10日（8月15日至8月28日），海外机构对201家上市公司进行调研，其中，天孚通信最受关注，被59家海外机构密集调研。证券时报·数据宝统计显示，近10日共有496家公司获机构调研，调研机构类型显示，证券公司调研达482家，占比最多；基金公司调研425家，位列其后；海外机构共对201家上市公司进行走访。,"http://finance.eastmoney.com/news/1354,202508283498331964.html",positive (stars 4 and 5),0.8435571193695068
证券要闻,2025-08-28 21:35:14,44.22亿主力资金净流入，6G概念涨4.26%,证券时报网,截至8月28日收盘，6G概念上涨4.26%，位居概念板块涨幅第7，板块内，66股上涨，三维通信、沃格光电、崇达技术等涨停，东田微、明阳电路、创远信科等涨幅居前，分别上涨15.38%、8.77%、8.68%。跌幅居前的有七一二、直真科技、慈星股份等，分别下跌3.06%、1.56%、1.14%。,"http://finance.eastmoney.com/news/1353,202508283498330861.html",positive (stars 4 and 5),0.7098813056945801
证券要闻,2025-08-28 21:35:02,中银协报告：2024年末银行业资管产品托管规模182.20万亿元 同比增长超12%,中国证券报·中证网,中证报中证网讯（记者张佳琳）中国银行业协会于近日发布《中国资产托管行业发展报告（2025）》。报告显示，资产托管机构正从传统的“资本市场看门人”角色向综合服务供应商方向转型，科技金融的发展也在不断推动托管业务数智化赋能。截至2024年末，中国银行业资产管理类产品托管规模为182.20万亿元，较上年末增长12.64%；资管产品营运外包业务规模8.88万亿元。,"http://finance.eastmoney.com/news/1353,202508283498511914.html",positive (stars 4 and 5),0.7997771501541138
证券要闻,2025-08-28 21:34:48,低价股一览 35股股价不足2元,证券时报网,按最新收盘价计算，A股均价为13.39元，不足2元的个股共有35只，股价最低的是*ST高鸿，最新收盘价为1.08元。证券时报·数据宝统计显示，截至8月28日收盘，沪指报收3843.60点，A股平均股价为13.39元，从个股股价分布看，高价股及低价股数量在A股市场总体占比相对较少。,"http://finance.eastmoney.com/news/1353,202508283498329245.html",positive (stars 4 and 5),0.8381785154342651
证券要闻,2025-08-28 21:34:45,深沪北百元股数量达148只 电子行业占比最高,证券时报网,以最新收盘价计算，A股平均股价为13.39元，其中股价超过100元的有148只，相比上一个交易日增加10只。百元股作为判定市场热度的信号之一，历来受到投资者关注。,"http://finance.eastmoney.com/news/1353,202508283498329872.html",positive (stars 4 and 5),0.9638084173202515
证券要闻,2025-08-28 21:34:42,猴痘概念下跌0.91%，7股主力资金净流出超5000万元,证券时报网,截至8月28日收盘，猴痘概念下跌0.91%，位居概念板块跌幅榜前列，板块内，阿拉丁、透景生命、宏源药业等跌幅居前，股价上涨的有17只，涨幅居前的有康辰药业、博拓生物、一品红等，分别上涨3.17%、2.18%、1.82%。,"http://finance.eastmoney.com/news/1353,202508283498326487.html",positive (stars 4 and 5),0.7600693702697754
证券要闻,2025-08-28 21:34:36,共封装光学(CPO)概念涨5.13%，主力资金净流入这些股,证券时报网,截至8月28日收盘，共封装光学(CPO)概念上涨5.13%，位居概念板块涨幅第2，板块内，93股上涨，天孚通信20%涨停，领益智造、东山精密、长飞光纤等涨停，长芯博创、德科立、东田微等涨幅居前，分别上涨18.84%、15.60%、15.38%。跌幅居前的有合锻智能、迈信林、航锦科技等，分别下跌5.24%、2.34%、2.01%。,"http://finance.eastmoney.com/news/1353,202508283498327574.html",positive (stars 4 and 5),0.7436389327049255
证券要闻,2025-08-28 21:30:26,18家券商披露半年报，净利均涨超20%，浙商证券营收骤降,南方都市报,8月27日晚间，东吴证券、信达证券、东北证券等9家券商集中披露了2025年上半年的业绩情况，截至发稿前，已有18家上市券商发布了半年报。来源：券商中报/制图：南都·湾财社整体来看，18家券商上半年的净利润均实现了正增长，且增幅全部超过了20%；但从营收来看，浙商证券、西部证券、哈投股份和国盛金控四家券商（含券商母公司）营业收入出现下滑。,"http://finance.eastmoney.com/news/1354,202508283498317476.html",positive (stars 4 and 5),0.750977635383606
证券要闻,2025-08-28 21:22:36,摩根资产管理：长期看好“人工智能+”主线,上海证券报·中国证券网,上证报中国证券网讯（记者王彭）近日，国务院发布《关于深入实施“人工智能+”行动的意见》（以下简称《意见》），要求以科技、产业、消费、民生、治理、全球合作等领域为重点，深入实施“人工智能+”行动。摩根资产管理表示，当前我国人工智能应用仍处于早期落地阶段，尽管头部企业积极加大AI投入，但绝大多数中小企业尚未实现规模化应用。,"http://finance.eastmoney.com/news/1353,202508283498470144.html",positive (stars 4 and 5),0.7945759296417236
证券要闻,2025-08-28 21:19:47,预计2025年全年实现营业收入50亿元至70亿元！6600亿芯片股发布股价风险提示公告|盘后公告集锦,财联社,今日聚焦【寒武纪：预计2025年全年实现营业收入50亿元至70亿元】寒武纪(688256)发布股票交易风险提示公告，公司关注到近期市场上存在部分对公司经营情况的预测，公司结合实际情况，预计2025年全年实现营业收入50亿元至70亿元。上述经营预测等前瞻性内容，系公司管理层的初步预测，不构成公司对任何投资者的实质承诺。,"http://finance.eastmoney.com/news/1354,202508283498313441.html",positive (stars 4 and 5),0.7568419575691223
证券要闻,2025-08-28 21:19:25,公告精选：寒武纪预计2025年营收50亿元至70亿元；东芯股份停牌核查,人民财讯,【热点】东芯股份：将就股票交易波动情况进行停牌核查。安踏体育：公司并非加拿大鹅控股公司潜在收购的一方。领益智造：目前经营情况正常，不存在未披露重大事项。拓维信息：近期生产经营情况正常，不存在未披露重大事项。二连板豪恩汽电：机器人业务领域产品尚处在研发阶段，暂未形成收入。天孚通信：目前经营情况正常，不存在未披露重大事项。,"http://finance.eastmoney.com/news/1354,202508283498312660.html",positive (stars 4 and 5),0.7221835255622864
证券要闻,2025-08-28 21:19:24,北京商报侃股：大盘股活跃度高于中小盘股是未来趋势,北京商报,【北京商报侃股：大盘股活跃度高于中小盘股是未来趋势】目前A股个股表现结构性行情明显，大盘股走势明显强于中小盘股，部分投资者感觉只赚指数不赚钱也与此有关。成熟市场里，大盘股的投资价值更受投资者认可，未来A股会持续发掘大盘股的价值。,"http://finance.eastmoney.com/news/1353,202508283498283232.html",positive (stars 4 and 5),0.9256564378738403
证券要闻,2025-08-28 21:18:22,十人憧憬AI十年：它会把世界变成什么样子,第一财经,人工智能日益为各国所重视。8月26日，国务院印发《关于深入实施“人工智能+”行动的意见》，明确表示要提高新一代智能终端、智能体等应用普及率，十年后全面步入智能经济新阶段。人工智能浪潮，影响国内国外所有重要企业，改变产业的运行方式和效率。近日，国内国外十位企业高管接受了第一财经的采访，分享了他们眼里的AI，以及它如何改变世界。,"http://finance.eastmoney.com/news/1354,202508283498310769.html",positive (stars 4 and 5),0.9007014036178589
证券要闻,2025-08-28 21:13:57,8月15家信托公司高管获批变更，密集流动背后传递哪些信息,北京商报,信托行业高管密集变动，从业机构仍在转型调整中。8月28日，北京商报记者统计发现，8月以来，共计15家信托公司发生20起董高监人员任免变动，变动岗位包括董事长、独立董事、运营总监、董事会秘书等。其中，万向信托股份公司（以下简称“万向信托”）月内收到4则批复，涉及董事长及三名董事，这也是万向信托的第二任董事长。,"http://finance.eastmoney.com/news/1353,202508283498471276.html",positive (stars 4 and 5),0.6933870911598206
证券要闻,2025-08-28 21:12:11,华生科技：第三届董事会第九次会议决议公告,证券日报,证券日报网讯8月28日晚间，华生科技发布公告称，公司第三届董事会第九次会议审议通过了《关于2025年半年度报告及其摘要的议案》等。,"http://finance.eastmoney.com/news/1353,202508283498293875.html",positive (stars 4 and 5),0.6625062227249146
